"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Precipitation","Wind","Relative Humidity","Solar"
"1/16/2014","-108.125","50.1127014160156","844","-0.814999999999998","-4.28699999999998","0.3107074824","6.12987096207107","0.920988446112971","6.53213190924",
"1/17/2014","-108.125","50.1127014160156","844","1.483","-0.793000000000006","0.0583648704","7.62793335602437","0.928313047346733","6.5506461084",
"1/18/2014","-108.125","50.1127014160156","844","2.03300000000002","-2.87799999999999","0.034332264","6.57877180253946","0.918958154958299","6.8678681256",
"1/19/2014","-108.125","50.1127014160156","844","1.90100000000001","-1.49000000000001","0.092697012","8.29094367886672","0.914282489825911","6.59042821188",
"1/20/2014","-108.125","50.1127014160156","844","-0.206000000000017","-17.287","1.56898692","4.52811059626188","0.924845320595766","6.8662007496",
"1/21/2014","-108.125","50.1127014160156","844","-1.58100000000002","-4.35300000000001","0.4858013592","6.73774211402752","0.946213291540507","6.3305736768",
"1/22/2014","-108.125","50.1127014160156","844","-5.69900000000001","-17.546","0.4428859824","3.79048335528611","0.877396398022382","7.397028504",
"1/23/2014","-108.125","50.1127014160156","844","1.089","-14.632","0.0120162996","6.76005924710885","0.874560894262948","6.51281732352",
"1/24/2014","-108.125","50.1127014160156","844","1.63499999999999","0.596000000000004","1.273728096","8.98048175983546","0.980384859951568","2.3809364172",
"1/25/2014","-108.125","50.1127014160156","844","2.041","0.721000000000004","1.802444256","8.46116634241643","0.971292874280614","6.81449877",
"1/26/2014","-108.125","50.1127014160156","844","1.06900000000002","-20.352","2.8015136928","8.31139662581905","0.832353821621363","7.641629838",
"1/27/2014","-108.125","50.1127014160156","844","-16.168","-28.432","0.0137329056","1.5635362366702","0.776834063340525","8.034340874868",
"1/28/2014","-108.125","50.1127014160156","844","-3.10500000000002","-27.673","0","4.45760289068114","0.806615551746109","8.19240044004",
"1/29/2014","-108.125","50.1127014160156","844","-1.70999999999998","-14.292","2.0719526904","5.00178416936928","0.941210352171356","4.63378991292",
"1/30/2014","-108.125","50.1127014160156","844","-15.201","-24.257","0.176811192","5.21839120796632","0.795381000302543","8.26563928932",
"1/31/2014","-108.125","50.1127014160156","844","-11.044","-19.585","0.7484437584","6.47570021519487","0.842776515310614","6.1252700004",
"2/1/2014","-108.125","50.1127014160156","844","-11.782","-16.479","0.616264308","4.79314860107487","0.845603884236559","7.9258709232",
"2/2/2014","-108.125","50.1127014160156","844","-12.667","-14.748","0.4600524384","5.44696557980255","0.87471819409871","7.9352590068",
"2/3/2014","-108.125","50.1127014160156","844","-14.309","-28.69","0.4171371192","3.67879360833139","0.811829387928325","8.62591093668",
"2/4/2014","-108.125","50.1127014160156","844","-22.663","-25.994","0.386238168","3.91283406921194","0.772224000973309","8.50115886156",
"2/5/2014","-108.125","50.1127014160156","844","-23.046","-27.456","0.2609252496","4.28367339935563","0.762750534914779","8.7637186062",
"2/6/2014","-108.125","50.1127014160156","844","-16.398","-26.776","0.0034332264","4.93301475093958","0.75227617986164","9.6741118368",
"2/7/2014","-108.125","50.1127014160156","844","-15.297","-26.311","0","2.56387921357928","0.719627704313628","10.0209281004",
"2/8/2014","-108.125","50.1127014160156","844","-16.735","-24.09","0.3604888872","2.84309116946645","0.812501035400433","8.5607998704",
"2/9/2014","-108.125","50.1127014160156","844","-16.434","-27.433","0.0892639224","2.30571324696207","0.812812021197465","10.13701412664",
"2/10/2014","-108.125","50.1127014160156","844","-8.82400000000001","-21.721","0","3.6078564597035","0.828854669908361","10.2781120716",
"2/11/2014","-108.125","50.1127014160156","844","-2.25200000000001","-29.606","0.1596451248","4.51978920723048","0.857684955013632","8.78190643584",
"2/12/2014","-108.125","50.1127014160156","844","1.54700000000003","-22.917","2.8701791064","6.91924246574464","0.915677320694801","4.8554616348",
"2/13/2014","-108.125","50.1127014160156","844","0.189999999999998","-17.861","3.330228852","3.44486571474575","0.942951455862029","4.8423896964",
"2/14/2014","-108.125","50.1127014160156","844","0.865000000000009","-6.029","2.518275636","3.42677587786702","0.950099971692263","9.16375969908",
"2/15/2014","-108.125","50.1127014160156","844","0.269999999999982","-6.72199999999998","0.5218507584","3.42407510380301","0.96038399874549","9.67752354456",
"2/16/2014","-108.125","50.1127014160156","844","1.71199999999999","-3.22500000000002","0.9853361424","9.3553753282619","0.915707542726975","10.66843109556",
"2/17/2014","-108.125","50.1127014160156","844","1.185","-4.49000000000001","0","6.57527088007738","0.897445061890415","9.952677846",
"2/18/2014","-108.125","50.1127014160156","844","0.0699999999999932","-4.79199999999997","0.00686646","4.93507152678571","0.885745730865733","11.45937156516",
"2/19/2014","-108.125","50.1127014160156","844","1.17399999999998","-10.563","5.925749076","7.76695459971921","0.915972381603116","8.26635049632",
"2/20/2014","-108.125","50.1127014160156","844","-0.827999999999975","-11.718","0.8188246404","2.57854448470143","0.927855321969416","11.2985848044",
"2/21/2014","-108.125","50.1127014160156","844","-8.00299999999999","-16.604","1.7612460648","3.26782049244542","0.930596372498968","7.8716645748",
"2/22/2014","-108.125","50.1127014160156","844","-11.502","-22.073","1.199912904","4.12095596317836","0.874970279452597","10.820950542",
"2/23/2014","-108.125","50.1127014160156","844","-20.621","-30.108","0.1922607756","2.8308639310294","0.777578962135677","11.88401344092",
"2/24/2014","-108.125","50.1127014160156","844","-16.202","-28.874","0.0102996792","3.56789669311243","0.778445791678305","13.0123310616",
"2/25/2014","-108.125","50.1127014160156","844","-14.945","-26.313","0.0446319864","3.02557030834138","0.790386555080368","13.3141297968",
"2/26/2014","-108.125","50.1127014160156","844","-8.18400000000003","-19.087","0","4.40331559018751","0.861614040484907","13.43743568424",
"2/27/2014","-108.125","50.1127014160156","844","-5.56400000000002","-16.404","0.40855428","4.45021348626414","0.87853727264046","13.466169146376",
"2/28/2014","-108.125","50.1127014160156","844","-12.318","-28.741","0.750160908","5.58381426054437","0.786266271564224","13.3608213972",
"3/1/2014","-108.125","50.1127014160156","844","-28.567","-41.973","0.032615658","1.56016985480221","0.697348389349684","14.4371116584",
"3/2/2014","-108.125","50.1127014160156","844","-19.095","-40.538","0.4411698264","3.65619083437368","0.733972217761833","12.1723764552",
"3/3/2014","-108.125","50.1127014160156","844","-12.97","-19.176","3.5688426264","4.52647166837652","0.839813285538727","10.8761135256",
"3/4/2014","-108.125","50.1127014160156","844","-5.11399999999998","-15.265","3.56369112","2.81232192509516","0.908707177744467","12.0679153416",
"3/5/2014","-108.125","50.1127014160156","844","-4.58199999999999","-9.65300000000002","3.773117196","2.57534436451457","0.955413351548999","10.8649049688",
"3/6/2014","-108.125","50.1127014160156","844","-6.947","-20.181","3.24783288","2.8717425523845","0.910829462861712","7.0326418968",
"3/7/2014","-108.125","50.1127014160156","844","-4.50799999999998","-25.529","0.3570555708","2.52009786124921","0.885258376653376","12.2733423288",
"3/8/2014","-108.125","50.1127014160156","844","1.71199999999999","-7.06200000000001","0.00686646","5.72300657028213","0.948885952722572","13.84586039772",
"3/9/2014","-108.125","50.1127014160156","844","7.46100000000001","1.40199999999999","0.0034332264","6.47823256190032","0.937728610169435","12.8690256096",
"3/10/2014","-108.125","50.1127014160156","844","4.36900000000003","-0.637999999999977","0","3.77989558148465","0.908761008314935","11.1778614648",
"3/11/2014","-108.125","50.1127014160156","844","5.00999999999999","-0.91500000000002","0.552749436","5.37733579112966","0.850046486323735","14.3072217198",
"3/12/2014","-108.125","50.1127014160156","844","8.67000000000002","-0.0310000000000059","0","6.28760022622542","0.879372727703494","15.3875144412",
"3/13/2014","-108.125","50.1127014160156","844","3.37099999999998","-1.85599999999999","0.250625664","7.25749359958398","0.873432700521516","8.9139466764",
"3/14/2014","-108.125","50.1127014160156","844","7.45999999999998","-2.17000000000002","0.161361864","3.1925277271964","0.808286705654329","14.6854688976",
"3/15/2014","-108.125","50.1127014160156","844","7.28699999999998","-2.45699999999999","2.0238874596","3.45400284847501","0.829265389588481","15.0131645748",
"3/16/2014","-108.125","50.1127014160156","844","11.477","1.42700000000002","0","5.99230684934489","0.728481372165222","15.10337940012",
"3/17/2014","-108.125","50.1127014160156","844","6.08199999999999","0.673000000000002","1.630782936","4.43164683505946","0.861180629604657","12.65803514676",
"3/18/2014","-108.125","50.1127014160156","844","2.66899999999998","-0.432999999999993","3.1139377848","3.73516156385691","0.870332985749541","6.5642350284",
"3/19/2014","-108.125","50.1127014160156","844","8.63799999999998","-1.70100000000002","0.6660460728","3.18779887302281","0.687226294080216","16.00683839352",
"3/20/2014","-108.125","50.1127014160156","844","2.91699999999997","-5.63600000000002","5.7231836712","5.60820331090879","0.863013330056745","4.4605588176",
"3/21/2014","-108.125","50.1127014160156","844","-6.83600000000001","-11.973","1.277160804","4.49870132086275","0.743130979975779","15.47410042224",
"3/22/2014","-108.125","50.1127014160156","844","-6.00599999999997","-14.698","0.0257491908","1.85945602979962","0.675524825113287","18.18763002",
"3/23/2014","-108.125","50.1127014160156","844","-4.07299999999998","-12.306","0.4154205024","2.69445447288202","0.762251424790362","16.0613637048",
"3/24/2014","-108.125","50.1127014160156","844","-4.37299999999999","-10.221","0.5355834048","4.62242292879924","0.675205352989318","14.3517132648",
"3/25/2014","-108.125","50.1127014160156","844","2.73899999999998","-10.078","0","3.64170893066295","0.594648856533059","17.92125994608",
"3/26/2014","-108.125","50.1127014160156","844","0.185000000000002","-4.45600000000002","0.648879444","3.2476869627593","0.755821817805314","11.7625489038",
"3/27/2014","-108.125","50.1127014160156","844","-2.61599999999999","-8.44","2.135468088","3.73849650063282","0.802125873173844","11.3765253768",
"3/28/2014","-108.125","50.1127014160156","844","0.851999999999975","-11.387","0.3244400604","2.34708018504606","0.819352847602992","16.16040447192",
"3/29/2014","-108.125","50.1127014160156","844","8.69499999999999","-1.99000000000001","0.3416060448","5.11442432084712","0.863173734130159","15.6876582168",
"3/30/2014","-108.125","50.1127014160156","844","-0.954999999999984","-9.20400000000001","1.100349072","3.85591669204578","0.890849697099118","10.31126113548",
"3/31/2014","-108.125","50.1127014160156","844","-0.456999999999994","-11.38","0.2695082328","3.75372712297616","0.798437467944562","17.7610948488",
"4/1/2014","-108.125","50.1127014160156","844","4.19200000000001","-5.69","0.00686646","2.75890630767429","0.787859146343116","19.07967373092",
"4/2/2014","-108.125","50.1127014160156","844","6.87700000000001","-5.09399999999999","0.3330228024","2.44285310089262","0.696801321985757","18.2878213032",
"4/3/2014","-108.125","50.1127014160156","844","5.50900000000001","-2.161","0.5990980356","2.77100258986852","0.750243561610475","17.730746144964",
"4/4/2014","-108.125","50.1127014160156","844","11.407","1.08300000000003","2.0977026048","5.95861319819096","0.707302311121974","19.84751611956",
"4/5/2014","-108.125","50.1127014160156","844","7.49000000000001","-0.505999999999972","0.3759383268","2.30876605324394","0.848270561753374","9.86727156372",
"4/6/2014","-108.125","50.1127014160156","844","11.377","0.226999999999975","2.554319304","5.1617597634929","0.738682717409438","18.85354659",
"4/7/2014","-108.125","50.1127014160156","844","12.916","1.678","0.12016296","4.00572543836065","0.631655986243563","20.8834390368",
"4/8/2014","-108.125","50.1127014160156","844","19.736","5.73899999999998","0","5.34798106322896","0.564730869608333","21.248316227628",
"4/9/2014","-108.125","50.1127014160156","844","12.869","3.38499999999999","0.7450103592","7.03555390390064","0.562701216996651","19.1923852608",
"4/10/2014","-108.125","50.1127014160156","844","12.149","2.72500000000002","0.0926971488","4.09809282054516","0.489473049932579","19.3736367936",
"4/11/2014","-108.125","50.1127014160156","844","10.759","1.798","3.8915655048","3.09635810014737","0.682138351440462","9.1473290028",
"4/12/2014","-108.125","50.1127014160156","844","3.89299999999997","-3.53800000000001","1.9123075584","5.63799006083027","0.781373038336382","12.3315284196",
"4/13/2014","-108.125","50.1127014160156","844","2.78899999999999","-5.57499999999999","0.94757076","4.13151262889549","0.570777028481485","16.6453418628",
"4/14/2014","-108.125","50.1127014160156","844","9.44499999999999","-6.32299999999998","0","2.76659872674135","0.423827462716468","23.4371290464",
"4/15/2014","-108.125","50.1127014160156","844","12.324","-0.476999999999975","0.0171661392","5.44746829082851","0.567790939789905","21.0543751692",
"4/16/2014","-108.125","50.1127014160156","844","4.47699999999998","-1.565","0.4737855888","3.29568040702181","0.672180519711116","15.6957246036",
"4/17/2014","-108.125","50.1127014160156","844","9.70800000000003","-2.38600000000002","3.4486760088","6.1470471142807","0.696989936959882","16.1298161964",
"4/18/2014","-108.125","50.1127014160156","844","12.364","4.51100000000002","12.74413932","4.96622419349484","0.807233066021562","10.42460723844",
"4/19/2014","-108.125","50.1127014160156","844","12.936","0.904999999999973","1.138114728","4.41626555109921","0.7288432533836","22.2514538076",
"4/20/2014","-108.125","50.1127014160156","844","12.162","3.98399999999998","2.142333936","5.70126418202406","0.637261840593364","22.23268984296",
"4/21/2014","-108.125","50.1127014160156","844","16.006","2.62","0.04119876","2.31554675402644","0.592095488745133","24.39429299028",
"4/22/2014","-108.125","50.1127014160156","844","22.328","7.81","0.0171661392","5.98167999851491","0.385961074891961","22.822304571",
"4/23/2014","-108.125","50.1127014160156","844","14.075","4.69400000000002","21.2001900984","5.69464397079941","0.820644182231331","4.91424095844",
"4/24/2014","-108.125","50.1127014160156","844","11.619","2.21600000000001","0.1922609304","4.86191745016773","0.731948251980945","25.254965423232",
"4/25/2014","-108.125","50.1127014160156","844","9.44200000000001","1.97399999999999","0.1922607144","3.25011424706315","0.827958395880952","16.08856176924",
"4/26/2014","-108.125","50.1127014160156","844","6.16800000000001","1.029","3.9035814984","4.91479217552654","0.919783100301482","5.2475922936",
"4/27/2014","-108.125","50.1127014160156","844","8.56999999999999","2.47199999999998","7.1428276368","2.48883993034989","0.880932666216161","13.8994552872",
"4/28/2014","-108.125","50.1127014160156","844","7.10199999999998","1.64400000000001","0.28495782","3.62402742703505","0.881611079784197","9.70830968508",
"4/29/2014","-108.125","50.1127014160156","844","11.829","1.74700000000001","0.2128600872","3.88812666559148","0.791643715230557","17.0881037316",
"4/30/2014","-108.125","50.1127014160156","844","14.472","2.70600000000002","0.0034332264","3.34735944567053","0.624746628942639","26.60273306136",
"5/1/2014","-108.125","50.1127014160156","844","19.406","5.971","2.4066969264","4.46011624301891","0.60436155132431","22.74441826392",
